City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
374,Kuala Kedah,MY,76.98,mist,6.1,100.3,Artini Homestay
376,Carbonia,IT,80.01,clear sky,39.1672,8.5222,Lu 'Hotel
385,Silver City,US,89.56,scattered clouds,32.7701,-108.2803,Copper Manor Motel
389,Tahoua,NE,89.29,broken clouds,14.8888,5.2692,Bungalows Guesthouse
391,Daru,PG,78.66,broken clouds,-9.0763,143.2092,Daru Lodge
399,Kalmunai,LK,78.49,overcast clouds,7.4167,81.8167,VS Villa
400,Mykolayiv,UA,75.97,clear sky,46.9659,31.9974,Nikotel
401,Neiafu,TO,83.08,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
406,Liuzhou,CN,80.4,broken clouds,24.3126,109.3892,Linjiang Inn
408,Kavieng,PG,82.31,broken clouds,-2.5744,150.7967,Nusa Island Retreat
409,Ahuatempan,MX,77.81,overcast clouds,18.4167,-98.0167,casa de huespedes BRAVO
411,Bousse,BF,82.65,light rain,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
412,Mastic Beach,US,84.97,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
413,Broome,US,85.62,clear sky,42.2506,-75.833,Chenango Valley State Park
418,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
421,Umm Lajj,SA,89.58,overcast clouds,25.0213,37.2685,Moon light Furnished Units
426,Hanting,CN,84.6,moderate rain,36.7708,119.2108,Weifang Xinhongda Guesthouse
428,Rosetta,EG,78.55,clear sky,31.4044,30.4164,Green Valley
429,Zhanaozen,KZ,77.54,broken clouds,43.3,52.8,K.korabay 28A
432,Nanjing,CN,89.51,overcast clouds,32.0617,118.7778,Nanjing Grand Hotel
434,Diamantino,BR,81.61,broken clouds,-14.4086,-56.4461,Hotel Delta
437,Shingu,JP,83.86,broken clouds,33.7333,135.9833,Shingu UI Hotel
439,Kirakira,SB,82.24,overcast clouds,-10.4544,161.9205,SanBiz Lodge
441,Sabang,ID,81.48,overcast clouds,5.8933,95.3214,Hotel Citra
447,Tezu,IN,77.65,broken clouds,27.9167,96.1667,Circuit House
448,Urumqi,CN,76.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
454,Madinat Sittah Uktubar,EG,81.27,clear sky,29.8167,31.05,Happy Kennel Academy
455,Samarai,PG,80.65,broken clouds,-10.6167,150.6667,Nuli Sapi
459,San Quintin,MX,77.83,broken clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
460,Jimo,CN,87.58,clear sky,36.3897,120.4622,Thank Inn Chain Hotel Shandong Jimo Bus Station
462,Yinchuan,CN,77.83,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
466,Puerto Ayacucho,VE,79.84,moderate rain,5.6639,-67.6236,Posada Turistica Manapiare
467,Port Hardy,CA,75.38,few clouds,50.6996,-127.4199,Airport Inn-Port Hardy
468,Sao Jose Da Coroa Grande,BR,76.28,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
471,Alice Town,BS,83.57,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
473,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
474,Havelock,US,84.94,clear sky,34.8791,-76.9013,Sherwood Motel
477,Ibra,OM,86.41,few clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
483,Humaita,BR,82.85,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
488,Kochubey,RU,77.92,overcast clouds,44.3861,46.5825,Europa
490,Puerto Escondido,MX,77.83,light intensity drizzle,15.85,-97.0667,Aldea del Bazar Hotel and Spa
491,Arcachon,FR,75.52,clear sky,44.5875,-1.0519,Hôtel All Suites Le Teich
493,Ninghai,CN,79.75,overcast clouds,29.2892,121.4247,Kaiyuan New Century Hotel
494,Meadow Lake,US,89.47,scattered clouds,34.8014,-106.5436,TumbleWeed RV Park
495,Calamar,CO,79.45,overcast clouds,10.2511,-74.9146,Hostal Katyalex
496,Kavaratti,IN,80.47,overcast clouds,10.5669,72.642,Green leaf
501,Ternate,ID,79.95,light rain,0.8,127.4,Sahid Bela Ternate Hotel
503,Bombay,IN,78.78,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar Hotels
504,Riberalta,BO,82.6,broken clouds,-10.9833,-66.1,Hotel Colonial
506,Bektemir,UZ,77.79,clear sky,41.2097,69.3342,Grace Garden
509,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
