City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Cabildo,AR,2022-08-07 22:11:22,-38.4842,-61.8954,44.98,73,92,6.35
143,Haines Junction,CA,2022-08-07 22:11:22,60.7522,-137.5108,58.15,51,91,5.99
144,Bonthe,SL,2022-08-07 22:11:23,7.5264,-12.505,75.6,87,83,9.06
145,Dongsheng,CN,2022-08-07 22:11:23,39.8161,109.9776,70.32,54,83,15.41
146,Yerbogachen,RU,2022-08-07 22:11:24,61.2767,108.0108,47.46,97,100,5.06
147,Tessalit,ML,2022-08-07 22:11:24,20.1986,1.0114,97.57,13,87,2.86
148,Anahuac,MX,2022-08-07 22:11:24,27.2333,-100.15,100.78,24,19,17.83
149,Arraial Do Cabo,BR,2022-08-07 22:11:25,-22.9661,-42.0278,71.46,88,75,5.75
150,Bandar-E Lengeh,IR,2022-08-07 22:11:25,26.5579,54.8807,92.77,66,1,11.23
151,Pimentel,PE,2022-08-07 22:11:25,-6.8367,-79.9342,64.69,72,0,23.02
152,Tazmalt,DZ,2022-08-07 22:11:26,36.3868,4.3989,79.09,36,0,4.88
153,Thinadhoo,MV,2022-08-07 22:11:27,0.5333,72.9333,81.79,73,100,7.78
154,Raudeberg,NO,2022-08-07 22:11:28,61.9875,5.1352,53.96,60,96,14.23
155,Tautira,PF,2022-08-07 22:11:28,-17.7333,-149.15,74.98,74,95,23.55
156,Townsville,AU,2022-08-07 22:11:29,-19.25,146.8,68.88,78,75,6.91
157,Campo Grande,BR,2022-08-07 22:07:28,-20.4428,-54.6464,72.95,73,75,9.22
158,Kavieng,PG,2022-08-07 22:11:29,-2.5744,150.7967,81.81,78,89,13.27
159,Chicama,PE,2022-08-07 22:11:30,-7.8447,-79.1469,61.34,69,46,8.88
160,Meulaboh,ID,2022-08-07 22:11:30,4.1363,96.1285,75.76,88,88,3.38
161,Cherkasskoye,RU,2022-08-07 22:11:31,52.4333,47.2167,67.66,55,11,4.61
162,Shache,CN,2022-08-07 22:11:31,38.4167,77.2406,77.63,47,80,6.6
163,Seymchan,RU,2022-08-07 22:11:32,62.8833,152.4333,70.12,65,50,3.71
164,Moose Factory,CA,2022-08-07 22:11:32,51.2585,-80.6094,60.85,51,0,7.7
165,Mahebourg,MU,2022-08-07 22:11:32,-20.4081,57.7,66.49,94,75,3.44
166,Manta,EC,2022-08-07 22:11:33,-0.95,-80.7333,74.98,78,75,8.05
167,Peniche,PT,2022-08-07 22:11:33,39.3558,-9.3811,67.28,93,0,5.21
168,Thanyaburi,TH,2022-08-07 22:11:34,14.0211,100.7343,82.35,86,40,4.61
169,Ayorou,NE,2022-08-07 22:11:34,14.7308,0.9174,92.23,39,24,6.85
170,Ilo,PE,2022-08-07 22:11:34,-17.6394,-71.3375,60.3,79,3,5.46
171,Awbari,LY,2022-08-07 22:11:35,26.5921,12.7805,86.34,19,0,9.19
172,Balaipungut,ID,2022-08-07 22:11:35,1.05,101.2833,73.69,99,93,0.89
173,Quatre Cocos,MU,2022-08-07 22:11:36,-20.2078,57.7625,66.31,77,18,7.54
174,Gornopravdinsk,RU,2022-08-07 22:11:36,60.05,69.9,60.31,74,93,0.47
175,Moa,CU,2022-08-07 22:11:36,20.6569,-74.9403,83.88,73,8,12.68
176,Pafos,CY,2022-08-07 22:11:36,34.7667,32.4167,76.78,69,20,4.61
