City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Carnarvon,AU,-24.8667,113.6333,61.57,79,0,11.45,clear sky
124,Turukhansk,RU,65.8167,87.9833,55.0,81,99,3.33,overcast clouds
125,Makakilo City,US,21.3469,-158.0858,86.32,51,0,17.27,clear sky
126,Nikolskoye,RU,59.7035,30.7861,58.89,78,27,4.05,light rain
127,Kita,ML,13.0349,-9.4895,78.96,77,50,2.71,scattered clouds
128,Laguna,US,38.421,-121.4238,96.44,32,0,10.36,clear sky
129,Camacha,PT,33.0833,-16.3333,67.42,78,40,11.5,scattered clouds
130,Port-Cartier,CA,50.0334,-66.8654,66.74,53,96,11.59,overcast clouds
131,Hwange,ZW,-18.3693,26.5019,63.19,40,0,2.13,clear sky
132,Provideniya,RU,64.3833,-173.3,42.91,75,100,15.66,overcast clouds
133,Pali,IN,25.7667,73.3333,84.97,72,100,2.86,light rain
134,San Jose,US,37.3394,-121.895,86.09,51,20,17.27,few clouds
135,Cidreira,BR,-30.1811,-50.2056,58.75,91,100,11.45,overcast clouds
136,Asosa,ET,10.0667,34.5333,59.72,95,100,4.16,overcast clouds
137,Karasjok,NO,69.4719,25.5112,47.23,86,100,15.3,overcast clouds
138,Peace River,CA,56.2501,-117.286,74.97,47,22,13.18,few clouds
139,Mahebourg,MU,-20.4081,57.7,66.25,94,40,3.44,scattered clouds
140,Ostrovnoy,RU,68.0531,39.5131,52.34,79,100,16.55,overcast clouds
141,San Policarpo,PH,12.1791,125.5072,76.82,85,89,2.93,overcast clouds
142,Bambous Virieux,MU,-20.3428,57.7575,66.22,94,40,3.44,scattered clouds
143,Castro,BR,-24.7911,-50.0119,56.97,96,100,4.23,moderate rain
144,Kangaatsiaq,GL,68.3065,-53.4641,40.75,94,100,9.4,overcast clouds
145,Porto Belo,BR,-27.1578,-48.5531,62.55,96,100,2.44,moderate rain
146,Saint-Philippe,RE,-21.3585,55.7679,67.59,82,15,5.19,few clouds
147,Lagoa,PT,39.05,-27.9833,73.78,83,15,18.39,light rain
148,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.54,90,18,14.45,few clouds
149,Ngunguru,NZ,-35.6167,174.5,58.26,79,31,7.09,scattered clouds
150,Nanortalik,GL,60.1432,-45.2371,44.42,84,15,8.48,few clouds
151,Kodiak,US,57.79,-152.4072,62.11,55,0,6.91,clear sky
152,Walvis Bay,NA,-22.9575,14.5053,52.09,84,25,9.62,scattered clouds
153,Pokhara,NP,28.2333,83.9833,71.38,85,95,3.67,overcast clouds
154,Bonavista,CA,48.6499,-53.1147,68.63,85,63,21.25,broken clouds
155,Arraial Do Cabo,BR,-22.9661,-42.0278,70.93,92,95,12.86,overcast clouds
156,Port Hueneme,US,34.1478,-119.1951,104.2,58,0,13.8,clear sky
157,Visby,SE,57.6409,18.296,62.82,63,100,9.22,overcast clouds
158,Verkhnevilyuysk,RU,63.4453,120.3167,54.57,86,86,2.51,overcast clouds
159,Ponta Delgada,PT,37.7333,-25.6667,72.32,88,75,2.3,broken clouds
160,Kaitangata,NZ,-46.2817,169.8464,42.12,57,73,12.93,broken clouds
161,Escanaba,US,45.7453,-87.0646,72.97,75,100,10.36,overcast clouds
162,Pangai,TO,-19.8,-174.35,77.68,79,54,14.7,broken clouds
163,Constitucion,CL,-35.3333,-72.4167,48.81,87,16,9.13,few clouds
164,Gazanjyk,TM,39.2446,55.5154,86.74,26,21,6.98,few clouds
165,Coquimbo,CL,-29.9533,-71.3436,56.93,71,0,6.91,clear sky
166,Honningsvag,NO,70.9821,25.9704,49.75,87,100,17.27,overcast clouds
167,Upernavik,GL,72.7868,-56.1549,42.42,82,87,7.47,overcast clouds
168,Yar-Sale,RU,66.8333,70.8333,64.58,76,0,10.02,clear sky
169,Columbus,US,39.9612,-82.9988,85.91,79,75,9.22,broken clouds
170,Puerto Rico,AR,-26.796,-55.024,60.69,96,100,1.92,overcast clouds
171,Sept-Iles,CA,50.2001,-66.3821,67.05,56,94,10.0,overcast clouds
172,Longyearbyen,SJ,78.2186,15.6401,46.24,93,75,11.5,broken clouds
173,Maun,BW,-19.9833,23.4167,63.39,32,1,0.81,clear sky
174,Barrow,US,71.2906,-156.7887,44.62,76,100,12.66,overcast clouds
